loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_mean_iou,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0031,0.06625853478908539,4.8325e-05,3.35,3350,,,,,,,,,,,,,
0.0031,0.04826591536402702,4.83e-05,3.4,3400,,,,,,,,,,,,,
0.0028,0.04071776196360588,4.8275e-05,3.45,3450,,,,,,,,,,,,,
0.0027,0.05446119233965874,4.825e-05,3.5,3500,,,,,,,,,,,,,
0.0027,0.055464379489421844,4.822500000000001e-05,3.55,3550,,,,,,,,,,,,,
0.0026,0.041037898510694504,4.82e-05,3.6,3600,,,,,,,,,,,,,
0.0028,0.03858371078968048,4.8175000000000005e-05,3.65,3650,,,,,,,,,,,,,
0.0029,0.062316928058862686,4.815e-05,3.7,3700,,,,,,,,,,,,,
0.0029,0.04384974390268326,4.8125000000000004e-05,3.75,3750,,,,,,,,,,,,,
0.0029,0.028767749667167664,4.8100000000000004e-05,3.8,3800,,,,,,,,,,,,,
0.0026,0.04839249700307846,4.8075e-05,3.85,3850,,,,,,,,,,,,,
0.0027,0.10306384414434433,4.805e-05,3.9,3900,,,,,,,,,,,,,
0.0026,0.038101617246866226,4.8025e-05,3.95,3950,,,,,,,,,,,,,
0.003,0.034363266080617905,4.8e-05,4.0,4000,,,,,,,,,,,,,
,,,4.0,4000,0.002256897510960698,0.7790577328184125,0.6115574343140504,0.6384638022365158,0.5868271571543702,19.6218,50.964,12.741,,,,,
0.0027,0.08479214459657669,4.7975e-05,4.05,4050,,,,,,,,,,,,,
0.0027,0.057521920651197433,4.795e-05,4.1,4100,,,,,,,,,,,,,
0.0024,0.13927818834781647,4.7925000000000006e-05,4.15,4150,,,,,,,,,,,,,
0.0024,0.033915139734745026,4.79e-05,4.2,4200,,,,,,,,,,,,,
0.0025,0.05277688428759575,4.7875000000000005e-05,4.25,4250,,,,,,,,,,,,,
0.0027,0.02744315192103386,4.785e-05,4.3,4300,,,,,,,,,,,,,
0.0027,0.10447640717029572,4.7825000000000004e-05,4.35,4350,,,,,,,,,,,,,
0.0028,0.04187165945768356,4.78e-05,4.4,4400,,,,,,,,,,,,,
